orgsize,salary
I don’t know,65244
Just me,84603
2 to 9 employees,63503
10 to 19 employees,62698
20 to 99 employees,72056
100 to 499 employees,83336
500 to 999 employees,87247
1000 to 4999 employees,95671
5000 to 9999 employees,95559
10000 or more employees,106485
