job,avgsalary,experience,jobX
Engineer  site reliability,111852,19,4
Engineer  site reliability,58505,2,4
Engineer  site reliability,140001,20,4
Engineer  site reliability,111959,21,4
Engineer  site reliability,112379,22,4
Engineer  site reliability,116005,23,4
Engineer  site reliability,218451,24,4
Engineer  site reliability,170459,25,4
Engineer  site reliability,115547,26,4
Engineer  site reliability,99429,27,4
Engineer  site reliability,103209,28,4
Engineer  site reliability,192532,29,4
Engineer  site reliability,43118,3,4
Engineer  site reliability,179619,30,4
Engineer  site reliability,128753,31,4
Engineer  site reliability,99499,32,4
Engineer  site reliability,124659,33,4
Engineer  site reliability,161364,34,4
Engineer  site reliability,174735,35,4
Engineer  site reliability,114769,36,4
Engineer  site reliability,174832,37,4
Engineer  site reliability,148299,38,4
Engineer  site reliability,141322,39,4
Engineer  site reliability,66866,4,4
Engineer  site reliability,131694,40,4
Engineer  site reliability,162298,41,4
Engineer  site reliability,165163,42,4
Engineer  site reliability,145918,43,4
Engineer  site reliability,0,44,4
Engineer  site reliability,156240,45,4
Engineer  site reliability,300000,46,4
Engineer  site reliability,0,47,4
Engineer  site reliability,0,48,4
Engineer  site reliability,0,49,4
Engineer  site reliability,65990,5,4
Engineer  site reliability,0,50,4
Engineer  site reliability,111812,6,4
Engineer  site reliability,79122,7,4
Engineer  site reliability,92247,8,4
Engineer  site reliability,94178,9,4
Engineer  site reliability,15528,0.5,4
Engineer  site reliability,0,60,4
Developer  full-stack,45506,1,5
Developer  full-stack,83925,10,5
Developer  full-stack,97064,11,5
Developer  full-stack,89325,12,5
Developer  full-stack,94923,13,5
Developer  full-stack,99326,14,5
Developer  full-stack,99507,15,5
Developer  full-stack,99290,16,5
Developer  full-stack,107780,17,5
Developer  full-stack,104615,18,5
Developer  full-stack,116521,19,5
Developer  full-stack,58465,2,5
Developer  full-stack,111288,20,5
Developer  full-stack,111602,21,5
Developer  full-stack,111828,22,5
Developer  full-stack,117106,23,5
Developer  full-stack,119308,24,5
Developer  full-stack,122589,25,5
Developer  full-stack,122907,26,5
Developer  full-stack,106925,27,5
Developer  full-stack,149916,28,5
Developer  full-stack,113815,29,5
Developer  full-stack,61101,3,5
Developer  full-stack,119131,30,5
Developer  full-stack,147005,31,5
Developer  full-stack,106314,32,5
Developer  full-stack,137352,33,5
