orgsize,salary
1000 to 4999 employees,109787
1000 to 4999 employees,61281
20 to 99 employees,5760
100 to 499 employees,78916
20 to 99 employees,42648
500 to 999 employees,105488
100 to 499 employees,8208
100 to 499 employees,137652
500 to 999 employees,52464
5000 to 9999 employees,44208
10000 or more employees,99816
10000 or more employees,30953
1000 to 4999 employees,38392
10 to 19 employees,28231
500 to 999 employees,7093
5000 to 9999 employees,128500
2 to 9 employees,63986
Just me,24672
2 to 9 employees,2628
10 to 19 employees,20808
1000 to 4999 employees,63986
10000 or more employees,22548
100 to 499 employees,45912
10 to 19 employees,20652
20 to 99 employees,48365
500 to 999 employees,88941
20 to 99 employees,4188
100 to 499 employees,35208
10 to 19 employees,12897
100 to 499 employees,90348
20 to 99 employees,60000
10 to 19 employees,93078
10 to 19 employees,72394
10 to 19 employees,4320
20 to 99 employees,113472
1000 to 4999 employees,19632
10000 or more employees,134520
10 to 19 employees,42657
500 to 999 employees,51192
20 to 99 employees,108336
20 to 99 employees,6012
10 to 19 employees,80000
100 to 499 employees,60228
100 to 499 employees,57588
I don’t know,116556
10000 or more employees,152891
20 to 99 employees,85308
2 to 9 employees,100000
10 to 19 employees,24696
10000 or more employees,180000
2 to 9 employees,81049
2 to 9 employees,85315
2 to 9 employees,1812
20 to 99 employees,16380
1000 to 4999 employees,6996
10 to 19 employees,67200
10 to 19 employees,420000
10000 or more employees,67602
20 to 99 employees,3096
2 to 9 employees,45888
100 to 499 employees,45857
5000 to 9999 employees,111840
20 to 99 employees,24312
500 to 999 employees,89706
20 to 99 employees,7680
20 to 99 employees,106644
I don’t know,73140
20 to 99 employees,34044
1000 to 4999 employees,214000
20 to 99 employees,30953
20 to 99 employees,74460
100 to 499 employees,28428
1000 to 4999 employees,24276
100 to 499 employees,87113
1000 to 4999 employees,250000
100 to 499 employees,3864
Just me,65820
Just me,77700
100 to 499 employees,17484
100 to 499 employees,30528
100 to 499 employees,42000
Just me,191964
1000 to 4999 employees,159966
10 to 19 employees,63984
Just me,180000
100 to 499 employees,114792
1000 to 4999 employees,4140
100 to 499 employees,47400
100 to 499 employees,48624
10 to 19 employees,3588
20 to 99 employees,15477
10 to 19 employees,5340
5000 to 9999 employees,128972
5000 to 9999 employees,66119
100 to 499 employees,51192
20 to 99 employees,2616
10000 or more employees,79983
10000 or more employees,127206
20 to 99 employees,11280
100 to 499 employees,121574
Just me,27024
10000 or more employees,70771
2 to 9 employees,9708
1000 to 4999 employees,20892
10000 or more employees,50701
10000 or more employees,51192
20 to 99 employees,32243
100 to 499 employees,46068
2 to 9 employees,107556
2 to 9 employees,51012
1000 to 4999 employees,62467
20 to 99 employees,43131
10000 or more employees,36259
100 to 499 employees,69374
2 to 9 employees,28527
I don’t know,65436
5000 to 9999 employees,89676
20 to 99 employees,21969
100 to 499 employees,77952
500 to 999 employees,51192
100 to 499 employees,51589
1000 to 4999 employees,42000
20 to 99 employees,63986
20 to 99 employees,8184
20 to 99 employees,3756
5000 to 9999 employees,46390
500 to 999 employees,245112
100 to 499 employees,61853
2 to 9 employees,29436
10 to 19 employees,85315
10 to 19 employees,7368
2 to 9 employees,43724
20 to 99 employees,3095
2 to 9 employees,72894
100 to 499 employees,25794
20 to 99 employees,54852
20 to 99 employees,141828
2 to 9 employees,86400
20 to 99 employees,27941
20 to 99 employees,9804
1000 to 4999 employees,96824
1000 to 4999 employees,30060
500 to 999 employees,17916
20 to 99 employees,24888
500 to 999 employees,79983
20 to 99 employees,9324
10000 or more employees,23220
100 to 499 employees,68252
100 to 499 employees,39276
20 to 99 employees,40525
10000 or more employees,105111
Just me,63984
500 to 999 employees,25794
1000 to 4999 employees,52789
100 to 499 employees,97143
20 to 99 employees,81900
10 to 19 employees,14076
2 to 9 employees,26364
1000 to 4999 employees,113761
20 to 99 employees,44400
20 to 99 employees,43020
20 to 99 employees,31662
Just me,133305
10 to 19 employees,63694
100 to 499 employees,46452
20 to 99 employees,47990
100 to 499 employees,69318
100 to 499 employees,36259
20 to 99 employees,185000
20 to 99 employees,409512
10000 or more employees,29412
5000 to 9999 employees,460704
100 to 499 employees,84462
2 to 9 employees,200000
100 to 499 employees,60225
20 to 99 employees,30948
1000 to 4999 employees,36036
20 to 99 employees,70380
100 to 499 employees,51589
10000 or more employees,30072
500 to 999 employees,71451
100 to 499 employees,28368
100 to 499 employees,94230
5000 to 9999 employees,33300
20 to 99 employees,62712
5000 to 9999 employees,91421
I don’t know,204
10 to 19 employees,64955
Just me,140772
100 to 499 employees,85315
20 to 99 employees,53628
20 to 99 employees,3264
20 to 99 employees,36468
10000 or more employees,96729
1000 to 4999 employees,71479
100 to 499 employees,50123
100 to 499 employees,154764
20 to 99 employees,11964
20 to 99 employees,96742
2 to 9 employees,37932
20 to 99 employees,51189
2 to 9 employees,11600
I don’t know,23215
20 to 99 employees,37325
100 to 499 employees,47990
20 to 99 employees,11607
5000 to 9999 employees,51948
20 to 99 employees,63986
500 to 999 employees,118380
20 to 99 employees,51189
I don’t know,50268
10000 or more employees,73499
20 to 99 employees,77850
20 to 99 employees,69318
2 to 9 employees,31992
100 to 499 employees,23215
20 to 99 employees,63986
1000 to 4999 employees,100245
100 to 499 employees,40897
100 to 499 employees,36372
1000 to 4999 employees,163650
10000 or more employees,12897
100 to 499 employees,31176
20 to 99 employees,23388
20 to 99 employees,6192
500 to 999 employees,38392
100 to 499 employees,108590
20 to 99 employees,60787
2 to 9 employees,93264
10000 or more employees,191959
2 to 9 employees,19200
100 to 499 employees,20472
10000 or more employees,34126
500 to 999 employees,47990
1000 to 4999 employees,139000
100 to 499 employees,52369
20 to 99 employees,49764
Just me,87024
20 to 99 employees,42463
20 to 99 employees,23215
10 to 19 employees,93264
20 to 99 employees,58872
10000 or more employees,78419
1000 to 4999 employees,39245
10 to 19 employees,383916
10000 or more employees,157351
10000 or more employees,85315
10000 or more employees,70385
1000 to 4999 employees,27756
5000 to 9999 employees,56076
2 to 9 employees,84696
10000 or more employees,6672
100 to 499 employees,57588
10 to 19 employees,17916
20 to 99 employees,33060
20 to 99 employees,19152
1000 to 4999 employees,45857
5000 to 9999 employees,75384
10000 or more employees,24505
I don’t know,21350
100 to 499 employees,83124
20 to 99 employees,30528
20 to 99 employees,83448
2 to 9 employees,119280
2 to 9 employees,25596
20 to 99 employees,47990
500 to 999 employees,51589
500 to 999 employees,39032
10000 or more employees,106793
20 to 99 employees,13464
100 to 499 employees,74651
20 to 99 employees,113761
20 to 99 employees,76788
2 to 9 employees,10524
10 to 19 employees,139485
10000 or more employees,42552
1000 to 4999 employees,32736
1000 to 4999 employees,213287
2 to 9 employees,20636
I don’t know,54961
10000 or more employees,269035
20 to 99 employees,95979
10 to 19 employees,15360
2 to 9 employees,130669
Just me,172070
10 to 19 employees,43453
20 to 99 employees,75384
Just me,42657
10000 or more employees,42657
20 to 99 employees,63986
10 to 19 employees,106644
20 to 99 employees,57588
500 to 999 employees,7996
5000 to 9999 employees,77436
100 to 499 employees,76783
10 to 19 employees,64000
10000 or more employees,49956
10 to 19 employees,44790
Just me,48756
100 to 499 employees,107422
100 to 499 employees,81263
20 to 99 employees,57588
2 to 9 employees,28152
20 to 99 employees,96012
1000 to 4999 employees,16536
1000 to 4999 employees,12000
2 to 9 employees,3600
20 to 99 employees,80667
100 to 499 employees,14400
10 to 19 employees,6964
100 to 499 employees,79153
100 to 499 employees,57588
100 to 499 employees,101000
100 to 499 employees,12792
500 to 999 employees,20952
100 to 499 employees,140772
20 to 99 employees,47990
5000 to 9999 employees,58654
10 to 19 employees,63672
100 to 499 employees,34126
20 to 99 employees,51189
5000 to 9999 employees,280000
10 to 19 employees,13536
5000 to 9999 employees,70935
1000 to 4999 employees,47808
20 to 99 employees,165000
500 to 999 employees,71748
500 to 999 employees,25794
100 to 499 employees,53322
10 to 19 employees,37920
10000 or more employees,101312
500 to 999 employees,75863
500 to 999 employees,17916
2 to 9 employees,98052
20 to 99 employees,25596
100 to 499 employees,30927
1000 to 4999 employees,70380
10000 or more employees,54025
10000 or more employees,119571
5000 to 9999 employees,69102
20 to 99 employees,19200
10 to 19 employees,6700
100 to 499 employees,88296
100 to 499 employees,65053
1000 to 4999 employees,47990
20 to 99 employees,99408
10 to 19 employees,16092
10 to 19 employees,11607
10 to 19 employees,32628
2 to 9 employees,145188
20 to 99 employees,26661
1000 to 4999 employees,72732
100 to 499 employees,13152
20 to 99 employees,25596
1000 to 4999 employees,4547
20 to 99 employees,47990
20 to 99 employees,69318
10 to 19 employees,70385
20 to 99 employees,54852
10000 or more employees,57588
500 to 999 employees,41271
Just me,49908
10000 or more employees,36046
20 to 99 employees,106644
10 to 19 employees,15360
1000 to 4999 employees,45720
20 to 99 employees,33276
100 to 499 employees,75384
1000 to 4999 employees,5880
10000 or more employees,69372
1000 to 4999 employees,25596
20 to 99 employees,62820
10 to 19 employees,23746
500 to 999 employees,32666
20 to 99 employees,39228
1000 to 4999 employees,8352
10000 or more employees,350000
10000 or more employees,75384
10 to 19 employees,106644
2 to 9 employees,30348
10 to 19 employees,37932
5000 to 9999 employees,93422
1000 to 4999 employees,58037
10000 or more employees,72744
20 to 99 employees,22308
10 to 19 employees,103705
1000 to 4999 employees,33300
100 to 499 employees,76980
500 to 999 employees,67186
10000 or more employees,92002
2 to 9 employees,26661
100 to 499 employees,63986
100 to 499 employees,53322
10 to 19 employees,7116
100 to 499 employees,11736
100 to 499 employees,7776
10 to 19 employees,51192
1000 to 4999 employees,6384
5000 to 9999 employees,74651
20 to 99 employees,33276
500 to 999 employees,10332
2 to 9 employees,28794
100 to 499 employees,107616
20 to 99 employees,23220
Just me,12384
500 to 999 employees,18612
10 to 19 employees,100000
Just me,127972
2 to 9 employees,44400
20 to 99 employees,57756
20 to 99 employees,60012
10000 or more employees,42657
100 to 499 employees,58654
10000 or more employees,159966
10000 or more employees,82964
10 to 19 employees,53748
2 to 9 employees,15588
1000 to 4999 employees,129132
1000 to 4999 employees,12696
Just me,203736
10 to 19 employees,52416
20 to 99 employees,29436
I don’t know,26040
20 to 99 employees,18966
10000 or more employees,74310
100 to 499 employees,13932
5000 to 9999 employees,31993
100 to 499 employees,75863
20 to 99 employees,12024
1000 to 4999 employees,113042
1000 to 4999 employees,63986
1000 to 4999 employees,4514
20 to 99 employees,95979
100 to 499 employees,76783
10000 or more employees,62340
100 to 499 employees,46704
100 to 499 employees,38392
10000 or more employees,44790
10 to 19 employees,3252
100 to 499 employees,16800
20 to 99 employees,57588
10000 or more employees,176928
10 to 19 employees,44790
Just me,100511
5000 to 9999 employees,136308
2 to 9 employees,106644
20 to 99 employees,125000
10000 or more employees,14372
I don’t know,5412
20 to 99 employees,165000
20 to 99 employees,28788
5000 to 9999 employees,61853
10000 or more employees,23215
20 to 99 employees,23144
100 to 499 employees,6576
20 to 99 employees,15060
500 to 999 employees,76788
1000 to 4999 employees,20004
100 to 499 employees,26638
2 to 9 employees,17916
500 to 999 employees,325008
500 to 999 employees,213576
20 to 99 employees,64486
2 to 9 employees,34822
500 to 999 employees,143484
10 to 19 employees,28692
100 to 499 employees,27727
20 to 99 employees,40956
2 to 9 employees,4788
2 to 9 employees,266600
20 to 99 employees,34659
2 to 9 employees,26384
10 to 19 employees,60312
10 to 19 employees,63984
2 to 9 employees,53322
20 to 99 employees,31410
10000 or more employees,93335
5000 to 9999 employees,51722
10 to 19 employees,125639
100 to 499 employees,84924
2 to 9 employees,69318
10 to 19 employees,13572
20 to 99 employees,35832
10000 or more employees,28668
1000 to 4999 employees,75384
10000 or more employees,22188
2 to 9 employees,22860
1000 to 4999 employees,37692
100 to 499 employees,46390
100 to 499 employees,6192
10000 or more employees,79020
1000 to 4999 employees,51189
2 to 9 employees,4643
20 to 99 employees,204468
500 to 999 employees,15477
1000 to 4999 employees,61176
100 to 499 employees,34548
100 to 499 employees,66540
500 to 999 employees,39210
100 to 499 employees,48000
100 to 499 employees,118932
10000 or more employees,95979
100 to 499 employees,30953
20 to 99 employees,76783
100 to 499 employees,5400
20 to 99 employees,25596
20 to 99 employees,45140
1000 to 4999 employees,74651
100 to 499 employees,87948
10000 or more employees,88514
100 to 499 employees,77848
1000 to 4999 employees,78912
20 to 99 employees,84804
10 to 19 employees,44790
20 to 99 employees,63986
100 to 499 employees,63984
500 to 999 employees,75717
5000 to 9999 employees,46923
100 to 499 employees,34008
1000 to 4999 employees,31176
Just me,38388
20 to 99 employees,95699
100 to 499 employees,309528
2 to 9 employees,21648
20 to 99 employees,39458
1000 to 4999 employees,9650
100 to 499 employees,63986
10 to 19 employees,55455
100 to 499 employees,7500
20 to 99 employees,77100
100 to 499 employees,31993
20 to 99 employees,83182
100 to 499 employees,63986
20 to 99 employees,34140
10000 or more employees,364
Just me,15000
20 to 99 employees,75000
2 to 9 employees,23592
500 to 999 employees,74868
10000 or more employees,46896
100 to 499 employees,22692
2 to 9 employees,32712
2 to 9 employees,31116
10000 or more employees,42657
100 to 499 employees,44796
5000 to 9999 employees,192228
2 to 9 employees,33396
5000 to 9999 employees,29136
20 to 99 employees,106644
20 to 99 employees,10236
1000 to 4999 employees,22932
20 to 99 employees,35192
100 to 499 employees,31993
5000 to 9999 employees,64486
10000 or more employees,140650
100 to 499 employees,15032
10000 or more employees,82736
1000 to 4999 employees,25980
1000 to 4999 employees,58654
100 to 499 employees,46068
100 to 499 employees,85435
500 to 999 employees,38392
5000 to 9999 employees,67409
Just me,29916
10 to 19 employees,138756
1000 to 4999 employees,76800
10000 or more employees,95979
1000 to 4999 employees,69318
500 to 999 employees,47352
10000 or more employees,95979
2 to 9 employees,63986
2 to 9 employees,160
20 to 99 employees,3264
100 to 499 employees,47990
20 to 99 employees,41568
1000 to 4999 employees,77850
20 to 99 employees,43512
10000 or more employees,70272
1000 to 4999 employees,2028
100 to 499 employees,36552
10 to 19 employees,6960
Just me,106644
2 to 9 employees,44004
100 to 499 employees,58037
2 to 9 employees,106157
20 to 99 employees,43512
2 to 9 employees,29736
5000 to 9999 employees,65698
20 to 99 employees,34356
2 to 9 employees,1600
20 to 99 employees,69318
1000 to 4999 employees,63804
10000 or more employees,36372
10000 or more employees,67409
10000 or more employees,58545
Just me,12384
2 to 9 employees,87448
2 to 9 employees,58654
1000 to 4999 employees,43752
5000 to 9999 employees,55068
100 to 499 employees,47743
10 to 19 employees,27727
100 to 499 employees,56521
2 to 9 employees,7512
100 to 499 employees,31992
20 to 99 employees,61560
Just me,94250
10000 or more employees,200000
100 to 499 employees,86035
100 to 499 employees,99900
20 to 99 employees,24972
100 to 499 employees,38388
20 to 99 employees,28152
2 to 9 employees,63986
20 to 99 employees,75384
20 to 99 employees,40956
20 to 99 employees,7428
10000 or more employees,131921
100 to 499 employees,56574
20 to 99 employees,105000
10000 or more employees,74651
100 to 499 employees,62340
2 to 9 employees,53748
1000 to 4999 employees,36435
Just me,133300
10000 or more employees,50123
10000 or more employees,6449
500 to 999 employees,53322
100 to 499 employees,143969
1000 to 4999 employees,95979
10000 or more employees,24420
1000 to 4999 employees,33912
100 to 499 employees,55455
5000 to 9999 employees,387000
20 to 99 employees,12864
1000 to 4999 employees,22440
100 to 499 employees,38388
1000 to 4999 employees,63984
100 to 499 employees,47990
2 to 9 employees,23436
500 to 999 employees,49272
20 to 99 employees,38328
20 to 99 employees,48756
10 to 19 employees,52464
20 to 99 employees,116065
1000 to 4999 employees,106644
20 to 99 employees,47990
10 to 19 employees,8508
20 to 99 employees,98248
Just me,3864
100 to 499 employees,52416
100 to 499 employees,53322
1000 to 4999 employees,63984
20 to 99 employees,41628
100 to 499 employees,20472
1000 to 4999 employees,20636
5000 to 9999 employees,44796
500 to 999 employees,45857
100 to 499 employees,42018
10 to 19 employees,127968
20 to 99 employees,56521
Just me,127968
2 to 9 employees,7680
1000 to 4999 employees,61853
1000 to 4999 employees,33912
1000 to 4999 employees,13332
10000 or more employees,41832
20 to 99 employees,43727
20 to 99 employees,51756
20 to 99 employees,125544
20 to 99 employees,101203
5000 to 9999 employees,23940
I don’t know,125639
20 to 99 employees,23215
20 to 99 employees,26304
100 to 499 employees,67044
100 to 499 employees,76783
100 to 499 employees,74651
1000 to 4999 employees,106644
100 to 499 employees,34979
500 to 999 employees,26849
10000 or more employees,36036
10000 or more employees,144
100 to 499 employees,35192
I don’t know,27768
20 to 99 employees,34140
100 to 499 employees,101312
10000 or more employees,89204
10000 or more employees,36259
20 to 99 employees,8316
10000 or more employees,73616
100 to 499 employees,25596
20 to 99 employees,7740
500 to 999 employees,13548
100 to 499 employees,63552
500 to 999 employees,17856
Just me,84925
1000 to 4999 employees,54852
10 to 19 employees,38392
100 to 499 employees,118101
1000 to 4999 employees,66540
10000 or more employees,49056
1000 to 4999 employees,124716
2 to 9 employees,50448
I don’t know,77652
10 to 19 employees,44790
20 to 99 employees,124447
500 to 999 employees,44796
10000 or more employees,10188
20 to 99 employees,319932
500 to 999 employees,95979
20 to 99 employees,47990
20 to 99 employees,14388
20 to 99 employees,40833
20 to 99 employees,38388
2 to 9 employees,61601
10 to 19 employees,19729
10000 or more employees,91421
10 to 19 employees,38392
5000 to 9999 employees,31992
1000 to 4999 employees,78000
500 to 999 employees,46800
500 to 999 employees,85315
1000 to 4999 employees,121894
20 to 99 employees,25794
20 to 99 employees,23220
500 to 999 employees,90647
100 to 499 employees,53628
10 to 19 employees,72444
20 to 99 employees,66540
20 to 99 employees,57588
20 to 99 employees,26772
20 to 99 employees,47990
500 to 999 employees,79236
5000 to 9999 employees,70740
2 to 9 employees,212313
10000 or more employees,95979
20 to 99 employees,6216
Just me,143484
5000 to 9999 employees,69318
10000 or more employees,69318
100 to 499 employees,85315
Just me,15997
100 to 499 employees,55032
100 to 499 employees,42657
I don’t know,24882
1000 to 4999 employees,46923
20 to 99 employees,30348
100 to 499 employees,95979
20 to 99 employees,42228
20 to 99 employees,76783
10000 or more employees,51189
10 to 19 employees,32244
20 to 99 employees,7428
100 to 499 employees,373253
100 to 499 employees,47990
20 to 99 employees,15480
20 to 99 employees,2688
10 to 19 employees,3733
5000 to 9999 employees,216672
2 to 9 employees,4788
20 to 99 employees,65388
Just me,54432
10 to 19 employees,94230
2 to 9 employees,38392
10000 or more employees,51948
10000 or more employees,51589
10000 or more employees,122640
10 to 19 employees,82736
10000 or more employees,65031
2 to 9 employees,7512
1000 to 4999 employees,55455
2 to 9 employees,37325
1000 to 4999 employees,61428
500 to 999 employees,16356
1000 to 4999 employees,86868
500 to 999 employees,39672
100 to 499 employees,34822
20 to 99 employees,76783
2 to 9 employees,31992
1000 to 4999 employees,28152
1000 to 4999 employees,59050
10000 or more employees,69372
2 to 9 employees,103908
2 to 9 employees,42000
100 to 499 employees,18444
10000 or more employees,389482
100 to 499 employees,111976
1000 to 4999 employees,63986
100 to 499 employees,268740
20 to 99 employees,32717
100 to 499 employees,41016
1000 to 4999 employees,11607
10000 or more employees,89975
2 to 9 employees,43938
5000 to 9999 employees,60948
2 to 9 employees,17856
5000 to 9999 employees,82185
500 to 999 employees,83184
10000 or more employees,22212
100 to 499 employees,55032
10000 or more employees,56076
10 to 19 employees,37325
10 to 19 employees,69318
20 to 99 employees,144485
Just me,38688
20 to 99 employees,6192
1000 to 4999 employees,18576
2 to 9 employees,159966
20 to 99 employees,12
10 to 19 employees,42657
I don’t know,33648
10 to 19 employees,27936
500 to 999 employees,51512
20 to 99 employees,79153
2 to 9 employees,185000
100 to 499 employees,17952
1000 to 4999 employees,60787
10000 or more employees,54852
Just me,75995
20 to 99 employees,37325
20 to 99 employees,29436
5000 to 9999 employees,62223
500 to 999 employees,7680
2 to 9 employees,84456
10 to 19 employees,101312
100 to 499 employees,18000
100 to 499 employees,87948
20 to 99 employees,35196
2 to 9 employees,42000
2 to 9 employees,3864
10000 or more employees,82964
10 to 19 employees,3036
20 to 99 employees,17052
10 to 19 employees,59987
100 to 499 employees,62712
20 to 99 employees,69108
500 to 999 employees,74651
20 to 99 employees,50123
10 to 19 employees,90000
20 to 99 employees,46487
100 to 499 employees,11520
1000 to 4999 employees,42657
100 to 499 employees,53748
10 to 19 employees,38388
100 to 499 employees,74651
100 to 499 employees,100440
10000 or more employees,15477
10000 or more employees,78464
2 to 9 employees,49368
100 to 499 employees,12408
20 to 99 employees,49056
10 to 19 employees,280000
100 to 499 employees,59507
2 to 9 employees,80868
500 to 999 employees,13488
10 to 19 employees,15360
10 to 19 employees,84108
20 to 99 employees,32666
20 to 99 employees,95979
500 to 999 employees,43974
2 to 9 employees,43512
10 to 19 employees,79800
10 to 19 employees,3
10 to 19 employees,10152
100 to 499 employees,21280
100 to 499 employees,81666
20 to 99 employees,4092
1000 to 4999 employees,49872
1000 to 4999 employees,162916
100 to 499 employees,75384
10 to 19 employees,94230
20 to 99 employees,72871
1000 to 4999 employees,54384
20 to 99 employees,69318
100 to 499 employees,87948
20 to 99 employees,68252
10 to 19 employees,47988
2 to 9 employees,74000
I don’t know,21925
100 to 499 employees,2424
10 to 19 employees,46068
10 to 19 employees,37325
20 to 99 employees,24420
10 to 19 employees,22200
2 to 9 employees,12384
2 to 9 employees,6449
10 to 19 employees,48732
5000 to 9999 employees,100511
20 to 99 employees,29436
10 to 19 employees,28794
Just me,22647
1000 to 4999 employees,55455
100 to 499 employees,63984
1000 to 4999 employees,27084
10000 or more employees,101312
10000 or more employees,60924
20 to 99 employees,47990
1000 to 4999 employees,51768
Just me,51710
20 to 99 employees,76788
20 to 99 employees,39672
20 to 99 employees,27504
100 to 499 employees,120444
100 to 499 employees,5088
20 to 99 employees,10644
2 to 9 employees,24696
20 to 99 employees,30393
1000 to 4999 employees,25594
20 to 99 employees,38388
500 to 999 employees,63986
100 to 499 employees,191964
20 to 99 employees,55455
1000 to 4999 employees,43974
1000 to 4999 employees,58654
100 to 499 employees,28056
100 to 499 employees,85435
1000 to 4999 employees,95979
100 to 499 employees,111976
20 to 99 employees,56538
1000 to 4999 employees,15360
20 to 99 employees,18612
1000 to 4999 employees,92780
10 to 19 employees,56628
20 to 99 employees,60787
500 to 999 employees,4092
100 to 499 employees,29436
2 to 9 employees,38388
20 to 99 employees,81387
1000 to 4999 employees,103419
10 to 19 employees,35652
10000 or more employees,94700
20 to 99 employees,89581
100 to 499 employees,106644
500 to 999 employees,43512
100 to 499 employees,35832
1000 to 4999 employees,40525
10 to 19 employees,38580
20 to 99 employees,90000
10 to 19 employees,32160
10000 or more employees,42657
10000 or more employees,169851
20 to 99 employees,71451
20 to 99 employees,5280
10 to 19 employees,22908
10000 or more employees,79983
100 to 499 employees,92724
10000 or more employees,106644
20 to 99 employees,31188
1000 to 4999 employees,180000
100 to 499 employees,36180
100 to 499 employees,83256
2 to 9 employees,2016
20 to 99 employees,8508
100 to 499 employees,31176
2 to 9 employees,34044
20 to 99 employees,48756
20 to 99 employees,106793
100 to 499 employees,7440
1000 to 4999 employees,41568
500 to 999 employees,40008
100 to 499 employees,36259
100 to 499 employees,59934
Just me,23040
1000 to 4999 employees,125639
20 to 99 employees,50772
100 to 499 employees,74651
10 to 19 employees,376918
1000 to 4999 employees,29424
500 to 999 employees,24000
2 to 9 employees,53340
10 to 19 employees,55455
100 to 499 employees,19392
100 to 499 employees,190000
1000 to 4999 employees,356618
10000 or more employees,55455
1000 to 4999 employees,58814
1000 to 4999 employees,90647
20 to 99 employees,95979
I don’t know,20196
20 to 99 employees,39768
100 to 499 employees,38388
2 to 9 employees,10800
20 to 99 employees,32628
I don’t know,47352
100 to 499 employees,90050
5000 to 9999 employees,89676
10 to 19 employees,63986
Just me,149301
20 to 99 employees,27264
2 to 9 employees,37116
10000 or more employees,74651
Just me,15360
10 to 19 employees,28897
20 to 99 employees,25594
1000 to 4999 employees,66708
10 to 19 employees,42657
5000 to 9999 employees,66132
2 to 9 employees,63986
10 to 19 employees,20724
2 to 9 employees,30708
20 to 99 employees,14148
20 to 99 employees,180000
500 to 999 employees,16646
5000 to 9999 employees,50656
2 to 9 employees,11100
20 to 99 employees,138582
20 to 99 employees,33276
500 to 999 employees,98112
10 to 19 employees,1548
10000 or more employees,38392
2 to 9 employees,127968
2 to 9 employees,130932
20 to 99 employees,75000
20 to 99 employees,9596
100 to 499 employees,66540
1000 to 4999 employees,50256
10000 or more employees,59220
20 to 99 employees,106793
20 to 99 employees,47990
20 to 99 employees,43512
100 to 499 employees,19104
10 to 19 employees,2313
1000 to 4999 employees,82922
100 to 499 employees,87948
Just me,115176
20 to 99 employees,6450
2 to 9 employees,78912
2 to 9 employees,34044
10 to 19 employees,34044
20 to 99 employees,34548
20 to 99 employees,136308
100 to 499 employees,46080
100 to 499 employees,85315
10000 or more employees,37795
100 to 499 employees,95486
10 to 19 employees,59124
Just me,31993
I don’t know,13080
500 to 999 employees,47990
10000 or more employees,25794
2 to 9 employees,27641
10000 or more employees,94230
100 to 499 employees,54388
2 to 9 employees,44790
1000 to 4999 employees,45857
2 to 9 employees,18846
10000 or more employees,41568
100 to 499 employees,828
10 to 19 employees,34126
10000 or more employees,115588
10 to 19 employees,37116
1000 to 4999 employees,125639
20 to 99 employees,52255
5000 to 9999 employees,33276
1000 to 4999 employees,39576
20 to 99 employees,54040
5000 to 9999 employees,74651
10000 or more employees,47796
Just me,103419
2 to 9 employees,69828
10000 or more employees,51192
20 to 99 employees,72871
20 to 99 employees,41591
1000 to 4999 employees,8328
2 to 9 employees,127388
10 to 19 employees,21756
20 to 99 employees,143484
5000 to 9999 employees,60064
100 to 499 employees,29436
10 to 19 employees,24372
5000 to 9999 employees,124103
5000 to 9999 employees,45140
10 to 19 employees,43044
100 to 499 employees,44796
500 to 999 employees,159966
10000 or more employees,70935
100 to 499 employees,60000
5000 to 9999 employees,62223
1000 to 4999 employees,69102
10000 or more employees,77850
20 to 99 employees,55455
2 to 9 employees,66119
10000 or more employees,95979
10 to 19 employees,76788
20 to 99 employees,47990
10 to 19 employees,114792
20 to 99 employees,35192
500 to 999 employees,45733
2 to 9 employees,21756
20 to 99 employees,38388
100 to 499 employees,85315
20 to 99 employees,72394
10 to 19 employees,30393
20 to 99 employees,499092
500 to 999 employees,5388
100 to 499 employees,245280
1000 to 4999 employees,25392
1000 to 4999 employees,92002
20 to 99 employees,94986
1000 to 4999 employees,86900
20 to 99 employees,25644
500 to 999 employees,42657
1000 to 4999 employees,80868
10000 or more employees,49056
1000 to 4999 employees,127968
20 to 99 employees,48540
100 to 499 employees,25594
1000 to 4999 employees,51189
1000 to 4999 employees,9060
5000 to 9999 employees,76250
2 to 9 employees,47115
10000 or more employees,300000
20 to 99 employees,124447
20 to 99 employees,85315
20 to 99 employees,159966
500 to 999 employees,55988
20 to 99 employees,90281
1000 to 4999 employees,467376
10 to 19 employees,6444
10 to 19 employees,42657
20 to 99 employees,27756
10 to 19 employees,47052
Just me,53322
100 to 499 employees,11868
100 to 499 employees,28393
2 to 9 employees,12936
1000 to 4999 employees,18576
10000 or more employees,34548
100 to 499 employees,47990
100 to 499 employees,74651
100 to 499 employees,63888
10000 or more employees,22764
500 to 999 employees,79983
100 to 499 employees,51589
10 to 19 employees,127972
10000 or more employees,226151
100 to 499 employees,59720
20 to 99 employees,30153
100 to 499 employees,90647
5000 to 9999 employees,61428
100 to 499 employees,143484
20 to 99 employees,3095
10 to 19 employees,268740
500 to 999 employees,70001
10000 or more employees,41472
1000 to 4999 employees,100245
10000 or more employees,127972
10000 or more employees,71984
2 to 9 employees,22764
10000 or more employees,106644
100 to 499 employees,87948
100 to 499 employees,51189
100 to 499 employees,51192
10 to 19 employees,36468
10000 or more employees,64709
10 to 19 employees,46923
20 to 99 employees,57588
2 to 9 employees,53855
1000 to 4999 employees,47352
100 to 499 employees,118792
10 to 19 employees,47990
10000 or more employees,38392
10 to 19 employees,61472
5000 to 9999 employees,75717
2 to 9 employees,3900
10000 or more employees,101312
20 to 99 employees,47743
