orgsize,salary
100 to 499 employees,42228
100 to 499 employees,320000
500 to 999 employees,106157
5000 to 9999 employees,75384
20 to 99 employees,17063
500 to 999 employees,200000
10000 or more employees,24420
100 to 499 employees,6216
2 to 9 employees,160000
5000 to 9999 employees,110000
100 to 499 employees,27750
10 to 19 employees,62712
100 to 499 employees,63986
1000 to 4999 employees,67940
500 to 999 employees,125639
10000 or more employees,300000
10000 or more employees,300000
10000 or more employees,53000
100 to 499 employees,110659
20 to 99 employees,72000
Just me,101509
100 to 499 employees,62467
2 to 9 employees,50000
500 to 999 employees,106644
100 to 499 employees,54659
100 to 499 employees,38388
10000 or more employees,60307
500 to 999 employees,30948
10000 or more employees,262000
20 to 99 employees,50256
100 to 499 employees,58563
5000 to 9999 employees,56538
20 to 99 employees,50123
100 to 499 employees,200000
500 to 999 employees,113075
20 to 99 employees,13128
10000 or more employees,23436
1000 to 4999 employees,90000
20 to 99 employees,7908
100 to 499 employees,70000
10000 or more employees,171000
10 to 19 employees,26661
100 to 499 employees,86000
100 to 499 employees,105000
500 to 999 employees,47990
10000 or more employees,78000
20 to 99 employees,72518
100 to 499 employees,187000
100 to 499 employees,64486
100 to 499 employees,78337
20 to 99 employees,27756
10000 or more employees,81387
20 to 99 employees,23436
20 to 99 employees,215000
1000 to 4999 employees,85112
10 to 19 employees,50755
500 to 999 employees,150000
20 to 99 employees,47990
100 to 499 employees,81666
100 to 499 employees,170630
10000 or more employees,162373
500 to 999 employees,69318
10000 or more employees,64029
20 to 99 employees,55000
10 to 19 employees,41592
100 to 499 employees,86040
100 to 499 employees,125000
100 to 499 employees,200000
2 to 9 employees,18024
10000 or more employees,160000
100 to 499 employees,110000
100 to 499 employees,250000
10000 or more employees,71614
1000 to 4999 employees,400000
100 to 499 employees,69744
10 to 19 employees,82000
10000 or more employees,125000
20 to 99 employees,150000
100 to 499 employees,180000
1000 to 4999 employees,93078
10000 or more employees,310000
1000 to 4999 employees,93540
100 to 499 employees,140000
100 to 499 employees,95000
20 to 99 employees,76788
500 to 999 employees,125000
2 to 9 employees,32666
100 to 499 employees,115000
2 to 9 employees,154633
10000 or more employees,121030
100 to 499 employees,62820
10000 or more employees,66948
100 to 499 employees,77700
20 to 99 employees,90647
10 to 19 employees,59679
100 to 499 employees,159950
500 to 999 employees,95979
100 to 499 employees,72243
5000 to 9999 employees,117126
20 to 99 employees,8184
500 to 999 employees,36240
10000 or more employees,265000
2 to 9 employees,486300
20 to 99 employees,29436
500 to 999 employees,44853
100 to 499 employees,135000
500 to 999 employees,65268
10000 or more employees,110000
10000 or more employees,75000
2 to 9 employees,112176
100 to 499 employees,120000
100 to 499 employees,120000
1000 to 4999 employees,55000
10 to 19 employees,23352
10000 or more employees,53322
1000 to 4999 employees,114000
10 to 19 employees,161000
500 to 999 employees,175000
100 to 499 employees,172000
10000 or more employees,105414
100 to 499 employees,63984
100 to 499 employees,400000
1000 to 4999 employees,62000
5000 to 9999 employees,297000
1000 to 4999 employees,17568
20 to 99 employees,110000
100 to 499 employees,69318
500 to 999 employees,87948
5000 to 9999 employees,200000
100 to 499 employees,159966
1000 to 4999 employees,75000
500 to 999 employees,41461
1000 to 4999 employees,125000
10000 or more employees,85000
500 to 999 employees,51000
20 to 99 employees,49908
2 to 9 employees,110568
20 to 99 employees,120000
10000 or more employees,149922
20 to 99 employees,114708
100 to 499 employees,113075
20 to 99 employees,225000
20 to 99 employees,220000
10000 or more employees,180000
10000 or more employees,105000
10 to 19 employees,358320
1000 to 4999 employees,165000
10000 or more employees,95979
20 to 99 employees,44790
10000 or more employees,166319
10 to 19 employees,13212
20 to 99 employees,37325
500 to 999 employees,62820
100 to 499 employees,460000
100 to 499 employees,120000
20 to 99 employees,103908
20 to 99 employees,18060
20 to 99 employees,120000
10000 or more employees,120000
10000 or more employees,14208
500 to 999 employees,75384
100 to 499 employees,186670
20 to 99 employees,79983
10000 or more employees,43524
100 to 499 employees,162000
5000 to 9999 employees,175895
100 to 499 employees,115000
Just me,64500
I don’t know,66371
100 to 499 employees,250000
10000 or more employees,160000
10000 or more employees,28374
5000 to 9999 employees,160000
1000 to 4999 employees,145
100 to 499 employees,125639
500 to 999 employees,55910
Just me,163977
1000 to 4999 employees,88000
10000 or more employees,350000
10000 or more employees,72480
10 to 19 employees,31993
100 to 499 employees,69372
Just me,3264
10 to 19 employees,279233
10000 or more employees,57156
100 to 499 employees,142500
20 to 99 employees,5256
100 to 499 employees,87948
Just me,127968
10 to 19 employees,111840
20 to 99 employees,11244
100 to 499 employees,134000
10000 or more employees,60040
20 to 99 employees,175000
20 to 99 employees,77688
Just me,74651
10 to 19 employees,100000
10 to 19 employees,38392
10 to 19 employees,43584
20 to 99 employees,49056
5000 to 9999 employees,200000
10 to 19 employees,138203
100 to 499 employees,150000
5000 to 9999 employees,147000
20 to 99 employees,165000
100 to 499 employees,16200
20 to 99 employees,36259
100 to 499 employees,473496
10000 or more employees,24118
1000 to 4999 employees,140000
10000 or more employees,116000
500 to 999 employees,155000
20 to 99 employees,175000
100 to 499 employees,135000
500 to 999 employees,140000
10000 or more employees,75576
1000 to 4999 employees,61000
10 to 19 employees,178000
I don’t know,125639
1000 to 4999 employees,160000
500 to 999 employees,89000
2 to 9 employees,50000
5000 to 9999 employees,185000
100 to 499 employees,100511
10000 or more employees,90000
10 to 19 employees,30713
2 to 9 employees,5736
10000 or more employees,320000
10 to 19 employees,62500
100 to 499 employees,105000
100 to 499 employees,39276
1000 to 4999 employees,182177
100 to 499 employees,180000
2 to 9 employees,8976
100 to 499 employees,67409
2 to 9 employees,9672
100 to 499 employees,80000
20 to 99 employees,69102
1000 to 4999 employees,128750
20 to 99 employees,34126
10000 or more employees,170000
100 to 499 employees,125000
10000 or more employees,80000
100 to 499 employees,45858
1000 to 4999 employees,63986
2 to 9 employees,170000
10 to 19 employees,65820
20 to 99 employees,77383
20 to 99 employees,100000
10000 or more employees,103705
100 to 499 employees,120000
5000 to 9999 employees,200000
10000 or more employees,165000
20 to 99 employees,77436
100 to 499 employees,46872
500 to 999 employees,163331
5000 to 9999 employees,134445
100 to 499 employees,117168
20 to 99 employees,50200
5000 to 9999 employees,99080
500 to 999 employees,51589
10 to 19 employees,125544
100 to 499 employees,250000
10 to 19 employees,30300
20 to 99 employees,95000
2 to 9 employees,33924
10000 or more employees,33603
100 to 499 employees,31908
10000 or more employees,81000
2 to 9 employees,80000
100 to 499 employees,105000
20 to 99 employees,37692
10000 or more employees,175000
100 to 499 employees,53748
20 to 99 employees,83184
10000 or more employees,120000
500 to 999 employees,74651
100 to 499 employees,195000
20 to 99 employees,69318
20 to 99 employees,157836
Just me,316608
Just me,48756
100 to 499 employees,160000
100 to 499 employees,181000
I don’t know,145000
20 to 99 employees,40176
1000 to 4999 employees,85315
100 to 499 employees,92136
100 to 499 employees,82000
10000 or more employees,180000
20 to 99 employees,13464
20 to 99 employees,40956
100 to 499 employees,230000
100 to 499 employees,80868
20 to 99 employees,28584
20 to 99 employees,53568
1000 to 4999 employees,156168
Just me,127972
100 to 499 employees,204000
20 to 99 employees,111976
100 to 499 employees,55830
1000 to 4999 employees,89581
500 to 999 employees,106680
20 to 99 employees,236000
1000 to 4999 employees,117126
100 to 499 employees,39449
1000 to 4999 employees,112000
I don’t know,90000
10000 or more employees,130000
20 to 99 employees,122500
100 to 499 employees,32588
10000 or more employees,91000
20 to 99 employees,52104
